Name,ResOpsInflow,ResOpsOutflow,StationFC,StationQU,DailyStationQU,StationQD,UpstreamReservoirs,PercentSpace,ReservoirLags,TotalUpstreamActiveSpace,VariableRuleCurve,Enabled,FlagLegend,RequiredLegend,ForecastMonthStart,ForecastMonthEnd,EspType,EspNode,Region
-- BOISE SYSTEM --,NA,NA,NA,NA,NA,NA,NA,100,,9999999,TRUE,TRUE,,Required,1,7,,,PN
LUC - Boise System,LUC QU,LUC QD,LUC,LUC,LUC,LUC,"AND,ARK,LUC",100,,949700,TRUE,TRUE,,Required,1,7,N,LUCI1N_SQIN,PN
AND - Anderson,ANDI QU,ANDI QD,LUC,LUC,LUC,ANDI,AND,45,,413100,TRUE,TRUE,,Required,1,7,N,ARAI1N_SQIN,PN
ARK - Arrowrock,ARK ID,ARKI QD,NA,NA,LUC,LUC,ARK,100,,272200,FALSE,TRUE,,Full Storage,1,7,N,ARKI1N_SQIN,PN
LUC - Lucky Peak,LUC ID,LUC QD,NA,NA,LUC,LUC,LUC,100,,264400,FALSE,TRUE,,Full Storage,1,7,N,LUCI1N_SQIN,PN
-- PAYETTE SYSTEM --,NA,NA,NA,NA,NA,NA,NA,100,,9999999,TRUE,TRUE,,Required,1,7,,,PN
CSC - Cascade,CSCI QU,CSCI QD,HRSI,HRSI,HRSI,CSCI,CSC,80,,646460,TRUE,TRUE,,Guide Curve,1,7,N,CSCI1N_SQIN,PN
DED - Deadwood,DEDI QU,DEDI QD,HRSI,HRSI,HRSI,DEDI,DED,20,,153992,TRUE,TRUE,,Guide Curve,1,7,N,DRBI1N_SQIN,PN
HRSI - Payette nr Horseshoe Bend,HRSI QU,HRSI QD,HRSI,HRSI,HRSI,HRSI,"CSC,DED",100,,800452,TRUE,TRUE,,Guide Curve,1,7,N,HRSI1N_SQIN,PN
MAN-Mann Creek,MAN QU,MAN QD,MAN,MAN,MAN,MAN,MAN,100,,11100,TRUE,FALSE,,Full Storage,1,6,,,PN
-- UPPER SNAKE SYSTEM --,NA,NA,NA,NA,NA,NA,NA,100,,9999999,TRUE,TRUE,,Required,1,7,,,PN
JCK - Jackson Lake,JCK QU,JCK QD,HEII,HEII,HEII,JCK,JCK,25,,847000,TRUE,TRUE,,Required,1,7,N,JLKW4N_SQIN,PN
PAL - Palisades,PALI QU,PALI QD,HEII,HEII,HEII,PALI,PAL,75,,1200000,TRUE,TRUE,,Required,1,7,N,PALI1N_SQIN,PN
GRS - Grassy Lake (No-FC),GRS QU,GRS QD,NA,NA,GRS,GRS,GRS,100,,15180,FALSE,TRUE,,Full Storage,1,7,,,PN
HEN - Henrys Lake (No-FC),HENI QU,HENI QD,NA,NA,HENI,HENI,HEN,100,,90000,FALSE,TRUE,,Full Storage,1,7,,,PN
ISL - Island Park,ISLI QU,ISLI QD,ISLI,ISLI,ISLI,ISLI,ISL,100,,135200,TRUE,TRUE,,Guide Curve,1,7,N,IPDI1I_QINE,PN
HEII  - Heise,HEII QU,HEII QD,HEII,HEII,HEII,HEII,"JCK,PAL",100,"1,0",2047000,TRUE,TRUE,,Required,1,7,N,HEII1N_SQIN,PN
RIR - Ririe,RIR QU,RIR QD,RIR,RIR,RIR,RIR,RIR,100,,80500,TRUE,TRUE,,Required,1,6,N,RIRI1N_SQIN,PN
AMF - American Falls,AMF ID,AMFI QT,NA,NA,AMFI,AMFI,AMF,100,,1672590,FALSE,TRUE,,Full Storage,1,7,N,AMFI1N_SQIN,PN
WODI - Little Wood River,WODI QU,WODI QD,WODI,WODI,WODI,WODI,WOD,100,,30000,TRUE,TRUE,"* apr 1-sep 30, based on forecast -- # sep 30-apr 15, based on filling schedule --  $ mar 1-jul 31, based on mean daily inflow",Required,1,7,W,WODI1W_SQIN,PN
-- MALHEUR SYSTEM --,NA,NA,NA,NA,NA,NA,NA,100,,9999999,TRUE,TRUE,,Required,1,7,,,PN
BUL - Bully Creek,BULO QU,BULO QD,BUL,BUL,BULO,BULO,BUL,100,,23676,TRUE,TRUE,,Required,1,6,N,BULO3N_SQIN,PN
BEU - Beulah,BEUO QU,BEUO QD,BEUO,BEUO,BEUO,BEUO,BEU,100,,59900,TRUE,TRUE,,Required,1,6,N,BEUO3N_SQIN,PN
WAR - Warm Springs,WARO QU,WARO QD,WARO,WARO,WARO,WARO,WAR ,100,,169600,TRUE,TRUE,,Required,1,6,N,WARO3N_SQIN,PN
-- DESCHUTES SYSTEM --,NA,NA,NA,NA,NA,NA,NA,100,,9999999,TRUE,TRUE,,Required,1,7,,,PN
PRV - Prineville,PRVO QU,PRVO QD,PRVO,PRVO,PRVO,PRVO,PRV,100,,148633,TRUE,TRUE,,Required,1,8,N,PRVO3N_SQIN,PN
OCHO - Ochoco,OCHO QU,OCH QT,OCHO,OCHO,OCHO,OCHO,OCH,100,,44460,TRUE,TRUE,,Required,1,6,N,OCHO3N_SQIN,PN
CREO - Crescent Lake (No-FC),CREO QU,CREO QD,NA,NA,CREO,CREO,CRE,100,,86900,FALSE,TRUE,,Full Storage,1,7,,,PN
WICO - Wickiup (No-FC),WICO QU,WICO QD,NA,NA,WICO,WICO,WIC,100,,200000,FALSE,TRUE,,Full Storage,1,7,,,PN
CRAO - Crane Prairie (No-FC),CRAO QU,CRAO QD,NA,NA,CRAO,CRAO,CRA,100,,55300,FALSE,TRUE,,Full Storage,1,7,,,PN
BENO - Deschutes River at Benham Falls,BENO QU,BENO QD,NA,NA,BENO,BENO,"CRA,WIC,CRE",100,,342000,FALSE,FALSE,,Full Storage,1,7,,,PN
-- YAKIMA SYSTEM --,NA,NA,NA,NA,NA,NA,NA,100,,9999999,TRUE,TRUE,,Required,1,7,,,PN
